date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,Month,Year,goal_diff,total_goals,decade,winner,is_world_cup,blowout,match_result
1930-07-13,Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,July,1930,-3,3,1930,United States,True,False,Belgium 0 - 3 United States
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,July,1930,3,5,1930,France,True,False,France 4 - 1 Mexico
1930-07-14,Brazil,Yugoslavia,1,2,FIFA World Cup,Montevideo,Uruguay,True,July,1930,-1,3,1930,Yugoslavia,True,False,Brazil 1 - 2 Yugoslavia
1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True,July,1930,-2,4,1930,Romania,True,False,Peru 1 - 3 Romania
1930-07-15,Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,July,1930,1,1,1930,Argentina,True,False,Argentina 1 - 0 France
1930-07-16,Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,True,July,1930,3,3,1930,Chile,True,False,Chile 3 - 0 Mexico
1930-07-17,Bolivia,Yugoslavia,0,4,FIFA World Cup,Montevideo,Uruguay,True,July,1930,-4,4,1930,Yugoslavia,True,True,Bolivia 0 - 4 Yugoslavia
1930-07-17,Paraguay,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,July,1930,-3,3,1930,United States,True,False,Paraguay 0 - 3 United States
1930-07-18,Uruguay,Peru,1,0,FIFA World Cup,Montevideo,Uruguay,False,July,1930,1,1,1930,Uruguay,True,False,Uruguay 1 - 0 Peru
1930-07-19,Argentina,Mexico,6,3,FIFA World Cup,Montevideo,Uruguay,True,July,1930,3,9,1930,Argentina,True,False,Argentina 6 - 3 Mexico
1930-07-19,Chile,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,July,1930,1,1,1930,Chile,True,False,Chile 1 - 0 France
1930-07-20,Belgium,Paraguay,0,1,FIFA World Cup,Montevideo,Uruguay,True,July,1930,-1,1,1930,Paraguay,True,False,Belgium 0 - 1 Paraguay
